UNC BACS 200 – Fall 2018,,,,,,,,,,
,,,,,,,,,,
,,,Lesson,Technology,Engineering,Application,Murach,,,
1,Mon,08-20,Lesson01,Web Design and Development,,,1 – Web Dev,Part 1 – HTML,,
,Wed,08-22,Lesson02,Development Loop,,,,,,
,Fri,08-24,Lesson03,How the internet works,,,2 – Code and Test,,,
2,Mon,08-27,Lesson04,Writing HTML,,,,,,
,Wed,08-29,Lesson05,Hyperlinks and URLs,,,,,,
,Fri,08-31,Lesson06,Tables,,,12 – Tables,,,
3,Mon,09-03,,Labor Day,,,,,,
,Wed,09-05,Lesson07,Display Images,,,11 – Images,,,
,Fri,09-07,Lesson08,Testing,,,,,,
4,Mon,09-10,Lesson09,Semantic Elements,,,,,,
,Wed,09-12,Lesson10,Special Formatting,,,,,,
,Fri,09-14,Lesson11,Page Structure,,,3 – Page Structure,,,
5,Mon,09-17,Lesson12,Forms,,,13 – Forms,,,
,Wed,09-19,Lesson13,HTML Summary,,,,,,
,Fri,09-21,,Exam1,,,,,,
6,Mon,09-24,Lesson14,Stylesheets,,,4 – CSS Formatting,Part 2 -CSS,,
,Wed,09-26,Lesson15,Fonts & Color,,,5 – Spacing and Color,,,
,Fri,09-28,Lesson16,Margins & Padding,,,,,,
7,Mon,10-01,Lesson17,Page Layout,,,6 – Page Layout,,,
,Wed,10-03,Lesson18,Menus,,,7 - Menus,,,
,Fri,10-05,Lesson19,Class Selectors,,,,,,
8,Mon,10-08,Lesson20,ID Selectors,,,,,,
,Wed,10-10,Lesson21,Cascading Styles,,,,,,14 – Video
,Fri,10-12,Lesson22,Bootstap Basics,,,,,,15 – Fonts
9,Mon,10-15,Lesson23,Bootstap UI,,,,,,16 – Animaiton
,Wed,10-17,Lesson24,,,,,,,
,Fri,10-19,Lesson25,,,,,,,18 – Hosting
10,Mon,10-22,Lesson26,Better Tools,,,20 – Tools,,,9 – Flexible Box
,Wed,10-24,Lesson27,Template Libraries,,,,,,10 -  Grid Layout
,Fri,10-26,,Exam2,,,,,,
11,Mon,10-29,Lesson28,UI Widgets,,,19 – JavaScript,Part 3 – Design,,
,Wed,10-31,Lesson29,Design Guide,,,8 – Responsive Web Design,,,
,Fri,11-02,Lesson30,Finding Images,,,,,,
12,Mon,11-05,Lesson31,Adobe Photoshop,,,,,,
,Wed,11-07,Lesson32,Adobe Illustrator,,,,,,
,Fri,11-09,Lesson33,Working with Others,,,17 – Design,,,
13,Mon,11-12,Lesson34,Design Reviews,,,,,,
,Wed,11-14,Lesson35,Beyond Websites,,,,,,
,Fri,11-16,Lesson36,Web Hosting,,,,,,
14,Mon,11-19,Lesson37,App Hosting,,,,,,
,Wed,11-21,,Thanksgiving,,,,,,
,Fri,11-23,,Thanksgiving,,,,,,
15,Mon,11-26,Lesson38,Dev Ops,,,,,,
,Wed,11-28,Lesson39,Project Planning,,,,,,
,Fri,11-30,Lesson40,Project Tracking,,,,,,
,Mon,12-03,,Exam3,,,,,,
,,,,Info Organization,,,,,,
,,,,Navigation,,,,,,
